Time,Duration,Max Elev.,Visibility (s),Revisit (s)
Oct 29 23:14:14 to 23:25:01 CLST,0:10:47,53.7,647,310
Oct 29 23:30:11 to 23:41:11 CLST,0:11:00,63.4,660,907
Oct 29 23:56:18 to Oct 30 00:07:26 CLST,0:11:08,39.8,668,1026
Oct 30 00:24:32 to 00:41:08 CLST,0:16:36,21.2,996,725
Oct 30 00:53:13 to 01:28:24 CLST,0:35:11,82.9,2111,4
Oct 30 01:28:28 to 01:39:19 CLST,0:10:51,44.9,651,370
Oct 30 01:45:29 to 02:13:27 CLST,0:27:58,26.1,1678,8473
Oct 30 04:34:40 to 04:45:05 CLST,0:10:25,32.4,625,232
Oct 30 04:48:57 to 04:59:37 CLST,0:10:40,51.7,640,945
Oct 30 05:15:22 to 05:28:03 CLST,0:12:41,56.8,761,1187
Oct 30 05:47:50 to 05:57:33 CLST,0:09:43,20.7,583,2100
Oct 30 06:32:33 to 06:44:16 CLST,0:11:43,15.6,703,558
Oct 30 06:53:34 to 07:03:36 CLST,0:10:02,26.3,602,19
Oct 30 07:03:55 to 07:14:21 CLST,0:10:26,39.6,626,813
Oct 30 07:27:54 to 07:51:22 CLST,0:23:28,76.3,1408,781
Oct 30 08:04:23 to 08:17:19 CLST,0:12:56,20.1,776,6102
Oct 30 09:59:01 to 10:09:08 CLST,0:10:07,20.6,607,1161
Oct 30 10:28:29 to 10:39:30 CLST,0:11:01,36.5,661,2036
Oct 30 11:13:26 to 11:24:05 CLST,0:10:39,35.4,639,476
Oct 30 11:32:01 to 11:41:51 CLST,0:09:50,16.4,590,228
Oct 30 11:45:39 to 11:55:25 CLST,0:09:46,18.0,586,65
Oct 30 11:56:30 to 12:06:49 CLST,0:10:19,25.9,619,382
Oct 30 12:13:11 to 12:41:41 CLST,0:28:30,82.7,1710,695
Oct 30 12:53:16 to 13:28:09 CLST,0:34:53,41.0,2093,7950
Oct 30 15:40:39 to 15:51:09 CLST,0:10:30,19.6,630,1178
Oct 30 16:10:47 to 16:21:10 CLST,0:10:23,46.1,623,627
Oct 30 16:31:37 to 16:42:16 CLST,0:10:39,58.4,639,222
Oct 30 16:45:58 to 16:56:24 CLST,0:10:26,36.5,626,1003
Oct 30 17:13:07 to 17:23:13 CLST,0:10:06,16.1,606,7405
Oct 30 19:26:38 to 19:39:06 CLST,0:12:28,23.6,748,479
Oct 30 19:47:05 to 19:57:24 CLST,0:10:19,41.7,619,60
Oct 30 19:58:24 to 20:08:56 CLST,0:10:32,70.5,632,519
Oct 30 20:17:35 to 20:45:37 CLST,0:28:02,70.1,1682,6803
Oct 30 22:39:00 to 22:48:34 CLST,0:09:34,15.9,574,595
Oct 30 22:58:29 to 23:09:18 CLST,0:10:49,38.8,649,1413
Oct 30 23:32:51 to 23:44:16 CLST,0:11:25,81.6,685,1632
Oct 31 00:11:28 to 00:21:18 CLST,0:09:50,19.6,590,322
Oct 31 00:26:40 to 00:54:37 CLST,0:27:57,32.7,1677,40
Oct 31 00:55:17 to 01:06:13 CLST,0:10:56,51.2,656,366
Oct 31 01:12:19 to 01:40:26 CLST,0:28:07,85.1,1687,703
Oct 31 01:52:09 to 02:16:25 CLST,0:24:16,22.3,1456,8326
Oct 31 04:35:11 to 04:46:01 CLST,0:10:50,31.2,650,1095
Oct 31 05:04:16 to 05:14:51 CLST,0:10:35,77.3,635,745
Oct 31 05:27:16 to 05:37:39 CLST,0:10:23,33.6,623,228
Oct 31 05:41:27 to 05:51:25 CLST,0:09:58,22.8,598,3548
Oct 31 06:50:33 to 07:09:50 CLST,0:19:17,35.2,1157,756
Oct 31 07:22:26 to 07:35:49 CLST,0:13:23,87.5,803,391
Oct 31 07:42:20 to 07:52:49 CLST,0:10:29,46.6,629,110
Oct 31 07:54:39 to 08:04:54 CLST,0:10:15,29.1,615,272
Oct 31 08:09:26 to 08:18:58 CLST,0:09:32,21.1,572,6403
Oct 31 10:05:41 to 10:15:47 CLST,0:10:06,18.2,606,1306
Oct 31 10:37:33 to 10:48:23 CLST,0:10:50,58.5,650,667
Oct 31 10:59:30 to 11:10:27 CLST,0:10:57,46.1,657,1706
Oct 31 11:38:53 to 11:51:10 CLST,0:12:17,20.0,737,36
Oct 31 11:51:46 to 12:07:34 CLST,0:15:48,25.3,948,695
Oct 31 12:19:09 to 12:54:53 CLST,0:35:44,74.3,2144,55
Oct 31 12:55:48 to 13:06:29 CLST,0:10:41,35.6,641,354
Oct 31 13:12:23 to 13:24:04 CLST,0:11:41,21.9,701,8883
Oct 31 15:52:07 to 16:02:20 CLST,0:10:13,29.7,613,209
Oct 31 16:05:49 to 16:16:19 CLST,0:10:30,45.3,630,854
Oct 31 16:30:33 to 16:43:05 CLST,0:12:32,76.0,752,999
Oct 31 16:59:44 to 17:09:45 CLST,0:10:01,26.1,601,7649
Oct 31 19:17:14 to 19:26:31 CLST,0:09:17,15.5,557,52
Oct 31 19:27:23 to 19:36:25 CLST,0:09:02,15.9,542,508
Oct 31 19:44:53 to 20:04:23 CLST,0:19:30,61.0,1170,763
Oct 31 20:17:06 to 20:30:22 CLST,0:13:16,58.6,796,348
Oct 31 20:36:10 to 20:46:08 CLST,0:09:58,28.0,598,191
Oct 31 20:49:19 to 20:58:48 CLST,0:09:29,18.3,569,11
Oct 31 20:58:59 to 21:07:55 CLST,0:08:56,15.7,536,7296
Oct 31 23:09:31 to 23:20:42 CLST,0:11:11,38.6,671,874
Oct 31 23:35:16 to 23:46:04 CLST,0:10:48,67.6,648,814
Oct 31 23:59:38 to Nov 1 00:09:54 CLST,0:10:16,23.4,616,753
Nov 1 00:22:27 to 00:32:16 CLST,0:09:49,16.9,589,329
Nov 1 00:37:45 to 01:06:32 CLST,0:28:47,49.0,1727,671
Nov 1 01:17:43 to 01:53:29 CLST,0:35:46,71.1,2146,98
Nov 1 01:55:07 to 02:05:05 CLST,0:09:58,19.6,598,8173
Nov 1 04:21:18 to 04:30:42 CLST,0:09:24,16.3,564,996
Nov 1 04:47:18 to 04:57:58 CLST,0:10:40,51.3,640,180
Nov 1 05:00:58 to 05:11:42 CLST,0:10:44,82.1,644,768
Nov 1 05:24:30 to 05:38:19 CLST,0:13:49,44.2,829,899
Nov 1 05:53:18 to 06:02:46 CLST,0:09:28,17.8,568,2280
Nov 1 06:40:46 to 06:54:27 CLST,0:13:41,21.3,821,292
Nov 1 06:59:19 to 07:09:29 CLST,0:10:10,31.4,610,194
Nov 1 07:12:43 to 07:28:24 CLST,0:15:41,54.5,941,751
Nov 1 07:40:55 to 08:00:21 CLST,0:19:26,45.5,1166,742
Nov 1 08:12:43 to 08:23:11 CLST,0:10:28,17.2,628,5952
Nov 1 10:02:23 to 10:12:06 CLST,0:09:43,17.7,583,928
Nov 1 10:27:34 to 10:38:32 CLST,0:10:58,52.7,658,2185
Nov 1 11:14:57 to 11:26:06 CLST,0:11:09,42.1,669,525
Nov 1 11:34:51 to 11:44:42 CLST,0:09:51,18.1,591,58
Nov 1 11:45:40 to 12:21:01 CLST,0:35:21,39.4,2121,79
Nov 1 12:22:20 to 12:33:14 CLST,0:10:54,64.8,654,230
Nov 1 12:37:04 to 13:06:25 CLST,0:29:21,77.2,1761,707
Nov 1 13:18:12 to 13:34:34 CLST,0:16:22,18.5,982,8024
Nov 1 15:48:18 to 16:02:50 CLST,0:14:32,28.2,872,787
Nov 1 16:15:57 to 16:26:23 CLST,0:10:26,56.0,626,1076
Nov 1 16:44:19 to 16:54:45 CLST,0:10:26,36.8,626,198
Nov 1 16:58:03 to 17:08:07 CLST,0:10:04,24.7,604,8731
Nov 1 19:33:38 to 19:49:28 CLST,0:15:50,33.7,950,194
Nov 1 19:52:42 to 20:03:04 CLST,0:10:22,51.1,622,242
Nov 1 20:07:06 to 20:17:42 CLST,0:10:36,83.3,636,1074
